process_date,process_time,equipment_id,chamber_id,wafer_id,wafer_doping_type,precleaning_time,oxidation_temperature,oxidation_time,pressure,gas_flow_rate,oxide_thickness,uniformity,defect_count,defect_type
2025-01-01,0:00:00,eq_1,chamber_1,w_0,p-type,3,908.3329417746784,30.450712295168493,0.7254578074087429,4007.192654347732,212.3185512828321,4.158928391575187,0,none
2025-01-01,1:00:00,eq_2,chamber_2,w_1,n-type,1,998.5958067,43.92603548243223,0.61065185,3273.074465075073,359.1522361484743,3.920767203824548,2,particle
2025-01-01,2:00:00,eq_3,chamber_3,w_2,p-type,5,1016.7619343534974,66.71532807151038,0.8166192485107484,2098.6634791516217,442.1007595464832,2.428848428146521,1,pinhole
2025-01-01,3:00:00,eq_4,chamber_1,w_3,n-type,3,952.6253932513112,46.84544784612038,0.7615226675708411,2897.739656588697,225.15390819787493,0.4374442560484682,2,particle
2025-01-01,4:00:00,eq_5,chamber_2,w_4,p-type,3,968.6904983889216,52.48769937914996,0.6490971298326111,2335.1063882791914,423.2349428791634,2.8603621884793693,0,none
2025-01-01,5:00:00,eq_1,chamber_3,w_5,p-type,1,1000.7689490686053,9.487945645762291,0.5393599077797326,3317.2536111538434,184.2575268109739,2.906108720638873,0,none
2025-01-01,6:00:00,eq_2,chamber_1,w_6,p-type,5,1047.7548189720735,72.68819223261087,0.219863913,4556.002443258663,403.0463333203864,2.241901627,0,none
2025-01-01,7:00:00,eq_3,chamber_2,w_7,p-type,4,948.3565385706472,36.51152093729363,0.3351997160968454,3277.219937648808,231.3762321253093,1.4056144392949692,0,none
2025-01-01,8:00:00,eq_4,chamber_3,w_8,n-type,5,957.0775029812658,29.95788421097572,0.4771895256253767,3526.889673306336,319.30050845886507,1.817398637001025,1,pinhole
2025-01-01,9:00:00,eq_5,chamber_1,w_9,p-type,2,1056.2793885520173,33.138400653789475,0.6393693583057498,3074.9913884588377,267.9246011611614,1.6708165223408171,0,none
