wafer_id,recipe,result,pressure,rf_power,etch_depth,uniformity,process_time,equipment,defect_count,defect_type
W_001,B,Good,20.68302611986516,255.4713384956869,527.8375984248411,6.962598011238796,51.673119220320345,EQ_A,3,Particle
W_002,A,Good,20.75967946894021,256.7311683067559,502.6819985731796,0.7341555993795623,51.44905188553457,EQ_A,0,
W_003,A,Good,21.66028166214771,257.02169352978257,504.732336473219,1.8245956624518413,52.0483851182858,EQ_B,1,Particle
W_004,C,Bad,17.797894272326708,244.16145367640607,505.0899509035815,1.2597189462946403,51.31245654866041,EQ_B,10,Scratch
W_005,B,Good,23.370376939349875,249.32162893010653,502.8865896896214,1.6851616842986346,51.86908402723025,EQ_B,0,
W_006,B,Bad,28.429311820804408,273.41142451621886,502.81505455015633,1.9167794936396376,50.96504513546787,EQ_C,8,Scratch
W_007,A,Good,24.239032853439284,265.28028404533023,505.296237332912,1.844770160540179,51.81000561281762,EQ_B,2,Particle
W_008,C,Good,21.593314598436148,261.1161945706458,525.4885866507735,7.60201572208112,52.44839029361586,EQ_C,5,Particle
W_009,C,Bad,29.45994679405709,269.44271021531483,506.5014325582619,1.290873722607003,51.4112364637932,EQ_C,8,Scratch
W_010,A,Good,20.879182481278264,261.4277703742883,501.840223838065,1.299793985380802,52.00929175253091,EQ_A,0,
W_011,A,Good,18.36363960959059,262.6056121418967,503.9479554163637,1.612856823784682,52.13934259362127,EQ_C,0,
W_012,C,Bad,24.597051282154247,280.70074519260635,504.3123518453392,1.4982926244107944,52.45253489182134,EQ_A,7,Scratch
W_013,C,Bad,17.61380070780935,247.9971791361872,507.4415917243708,1.091123652061981,51.86642015869479,EQ_C,10,Scratch
W_014,A,Good,21.57800866432268,260.4479034062762,502.1787586762963,2.244696529824637,53.085866341867806,EQ_A,2,Particle
W_015,C,Bad,30.25641407624672,270.9457124439483,505.7039560154653,1.4876789507857069,49.89908113854808,EQ_C,8,Scratch
W_016,C,Bad,26.736171281351496,268.71211070542694,505.75826652261367,1.455021925936606,54.93775284716777,EQ_C,7,Scratch
